-aĉ-,<i>(disparagement)</i>
-ad-,<i>(ongoing or habitual action)</i>
-aĵ-,<i>(concrete manifestation)</i>
-an-,<i>(member of group)</i>
-ar-,"<i>(collective, group)</i>"
bo-,<i>(in-law)</i>
-ĉj-,<i>(male pet name)</i>
dis-,<i>(apart; separation)</i>
-ebl-,<i>(possibility)</i>
-ec-,<i>(abstract name of quality)</i>
-eg-,<i>(augmentative)</i>
-ej-,<i>(place)</i>
ek-,<i>(beginning; sudden)</i>
eks-,<i>(former)</i>
-em-,"<i>(disposition, tendency)</i>"
-end-,<i>(passive obligation)</i>
-er-,<i>(small particle of whole)</i>
-estr-,"<i>(leader, head)</i>"
-et-,<i>(diminutive)</i>
fi-,<i>(shameful; disgusting)</i>
-foj-,<i>(frequency; n-times)</i>
ge-,<i>(both sexes together)</i>
-id-,<i>(offspring)</i>
-iĝ-,"<i>(become, get)</i>"
-ig-,"<i>(causative; make, render)</i>"
-il-,"<i>(tool, implement, means)</i>"
-in-,<i>(female)</i>
-ind-,<i>(worthiness)</i>
-ing-,"<i>(socket, holder)</i>"
-ism-,"<i>(ism, theory, behaviour)</i>"
-ist-,<i>(habitual occupation)</i>
mal-,<i>(opposite meaning)</i>
mis-,<i>(mis-)</i>
-nj-,<i>(female pet name)</i>
-obl-,<i>(multiple; n-fold)</i>
-on-,<i>(fraction; n-th)</i>
-op-,<i>(collective; n-group)</i>
pra-,<i>(remoteness in time)</i>
re-,<i>(in return; again)</i>
-uj-,<i>(container; country)</i>
-ul-,<i>(person characterised by)</i>
-um-,<i>(ambiguous relation)</i>
