(frukto) suko,(fruit) juice
(kuirita) ŝinko.....,ham
abrikoto,apricot
alkoholaĵo,"spirit, liquor"
ananaso,pineapple
anaso,duck
ansero,goose
apetito,appetite
avengrio,oatmeal
avenkaĉo,porridge
bakitaj,baked
banano,banana
bero,berry
biero,beer
biskvito,"biscuit, cracker"
bongusta,"delicious, nice, tasty, savoury"
bovaĵfritbulo,beefburger
bovaĵo,beef
brancerealoj,bran cereals
brando,"brandy, schnapps; spirits"
branflokoj,bran flakes
brano,bran
branpano,wholemeal bread
bruselbrasiketo,brussels sprouts
bulko,roll (bread)
bulo,"lump, ball, clod, chunk"
butero,butter
celerio,celery
cepo,onion
cerealo,cereal
ĉerizo,cherry
citrono,lemon
ĉokolado,chocolate
daktilo,date (fruit)
deserto,dessert
dolĉa,"sweet; soft, gentle, tender"
drinkejo,"public house, bar"
drinki,"drink (to excess), booze"
fabo,"bean, broad bean"
faruno,flour
fazeolo,"french bean, kidney bean, haricot"
fiŝaj-briketoj,fish fingers
fiŝo,fish
flano,(thin flat) pastry; baked-custard tart; dropscone
florbrasiko,cauliflower
frago,strawberry
frambo,raspberry
friti,fry
frititaj terpomoj,"chips, fried potatoes"
fromaĝo,cheese
ĝino,gin
glaciaĵo,ice cream
grapfrukto,grapefruit
gustumi,taste (something)
herbo,"grass; herb, plant"
inkluziva,inclusive
jogurto,yoghurt
kafo,coffee
kakao,cocoa
karoto,carrot
kelnero,waiter
kokidaĵo,chicken
kokoso,coconut
kolbaso,sausage
kompoto,"compote, stewed fruit"
konfitaĵo,"jam, preserve(d) fruits"
konjako,"cognac, brandy"
konservi,keep; preserve
korko,cork
korktirilo,corkscrew
kremaĵo,custard
kremo,cream
kuko,cake
kukumo,cucumber
kustardo,custard
lakto,milk
laktuko,lettuce
lardo,bacon
legomo,vegetable
likva,liquid
limonado,lemonade
maizflokoj,cornflakes
maizo,"maize, (sweet)corn"
makaronio,macaroni
malfermilo,opener
malsati,be hungry
manĝaĵo,food
manĝi,eat
marmelado,jam (<i>inc.</i> marmalade)
matenmanĝo,breakfast
melono,melon
menuo,menu
mielo,honey
mustardo,mustard
nudelo,noodle
nukso,nut
oleo,oil
omleto,omelette
oranĝo,orange
ovo,egg
pano,bread; loaf
papriko,paprika
pasteĉo,pie; pasty
persiko,peach
pikniko,picnic
pipro,pepper
piro,pear (fruit)
pizo,pea
plado,"dish, platter; course"
pomo,apple
porkaĵo,pork
prepari,prepare
pruno,plum
pudingo,pudding
restoracio,restaurant
rizkaĉo,rice pudding
rizo,rice
rostpano,toast
rubuso,blackberry
ruĝa beto,beetroot
rumo,rum
ŝafidaĵo,lamb
salato,salad
salmo,salmon
salo,salt
ŝampinjono,(common edible) mushroom
sandviĉo,sandwich
sata,"full, satiated"
saŭco,sauce
siropo,syrup
soifa,thirsty
soifi,be thirsty
soifo,thirst
spageto,spaghetti
spico,spice
spinaco,spinach
sukero,sugar
supo,soup
tagmanĝo,lunch
temanĝo,tea (meal)
teo,tea
terpomflokoj,(potato) crisps
terpomo,potato
tomato,tomato
torto,"tart, pie, gateau"
transdoni,"pass, hand over"
trinkaĵo,drink
trinki,drink
trinkmono,"tip, gratuity"
tuko,cloth
verŝi,"pour <i>(tr)</i> (liquids); shed, scatter"
vespermanĝo.....,"dinner, evening meal"
viando,meat
vinagro,vinegar
vinbero,grape
vino,wine
viskio,whiskey
vodko,vodka
