(tut)nova,(brand) new
aktuala,"topical, current"
al,to; towards
alia,other; another; else
alie,otherwise
almenaŭ,at least
alveni,arrive
ambaŭ,both
amuzi,amuse
ankaŭ,also; too
ankoraŭ ne,not yet
ankoraŭ,still
anstataŭ,instead of
antaŭ,"before, in front of"
aparte,"apart, separately; particularly"
aparteni,belong
apenaŭ,scarcely; hardly
apud,"beside, nearby"
atenti,pay attention to
aŭ,or
aŭ... aŭ,either... or
aŭdi,hear
aŭskulti,listen (to)
baldaŭ,soon
bela,lovely; beautiful; handsome
bezoni,"need, require"
bona,good
ĉar,"because, since; for"
ĉe,"at; by; next to; in the case of, with"
ĉeesti,"be present, attend"
ĉefa,"chief, main, principal"
centimetro,centimetre
certa,certain; sure
ĉesi,"cease, desist <i>(intr)</i>"
cetera,remaining
ĉirkaŭ,"(a)round, about"
ĉiutage,every day
ĉu ne?,isn't it?
ĉu,(<i>question</i>)
ĉu... ĉu,whether... or
da,of (measure but <u>not</u> numeral)
de,of; from; since; by
decidi,"decide, resolve"
dek,ten
dekstra,right (hand)
demandi,ask (a question)
denove,again
deziri,"wish, desire"
diri,say; tell
diversa,varied
do,"therefore, so"
doni,"give, impart"
du,two
dum,meanwhile
duono,half
eble... eble,perhaps... or
eĉ,even
ek de,"since, from"
ekster,outside; besides
ekzemple,for example
ekzisti,"exist, be"
el,out of; from; made of
eliri,"leave, go out"
en,in; at
escepte de,except from
espereble,hopefully
esperi,hope
esti,be
evolui,develop <i>(intr)</i>
facila,"easy; light, gentle"
fakto,fact
fare de,by (means of)
fari,"make, do"
faro,deed
finfine,at last
fini,"finish, end <i>(tr)</i>"
fino,end
flari,smell <i>(tr)</i>
fojo,"time, occasion"
for,"away, off"
forgesi,forget
foriri,depart
forta,strong
funto,pound (weight)
futo,foot (measure)
gaja,"gay, cheerful"
galjono,gallon
ĝenerala,general
ĝis,until
grado,degree (measure); grade
gramo,gram (weight)
granda,"big, large; great"
ĝusta,"right, correct, exact"
havi,have
inter,between; among
interesa,interesting
interesiĝi,be interested in
iomete,a tiny bit
iri,go
ja,indeed
jam,already; by now
je,(at)
jen,here is
jen... jen,sometimes... sometimes
jes,yes
ju... des,the... the ...
ĵus,"just, just now"
kaj tiel plu,"and so on, etc."
kaj,and
kaj... kaj,both... and
kapabla,"able, capable"
ke,that
kelkaj,"some, a few"
kelke,severally
kilogramo,kilogram
kilometro,kilometre
klara,"clear, plain"
komenci,begin <i>(tr)</i>
kompari,compare <i>(tr)</i>
kompreneble,of course
koni,"know, be acquainted with"
konsideri,consider
kontraŭ,"against; opposite; (in exchange) for, contrary to"
krii,"cry, call out"
krom,"besides, apart from"
kun,with
kune,together
kutime,usually
kvankam,although
kvar,four
kvarono,quarter
kvieta,"quiet, calm; docile"
kvin,five
la,the
lasi,leave; let
lasta,"last, most recent"
laŭ,according to; along
litro,litre
longa,long
malgraŭ,"in spite of, despite"
manki,"be lacking, deficient, fail; be absent"
mejlo,mile
mem,"-self, -selves"
memori,remember
meti,put
metro,metre
mezo,middle
milda,"mild, gentle"
moderna,modern
modesta,modest
momento,moment
multa(j),"much, many"
multe (da),a lot (of)
multekosta,expensive
naŭ,nine
ne longe,recently
ne plu,"no longer, no more"
ne,"no, not"
nek... nek,neither... nor
nepre,without fail; absolutely
nordo,North
noti,"note; mark, grade"
nu,well! now!
nul,"zero, nil"
nun,now
nur,only
ofte,often
ok,eight
okazi,"occur, happen"
okcidento,West
oktobro,October
ol,than
opinii,"think, have an opinion on, opine"
oriento,East
pacema,peaceful
pajnto,pint
pardoni,"forgive, pardon"
pardonpeti,"beg forgiveness, be sorry"
paroli,"speak, talk"
pasinta,past
peco,"piece, bit"
pensi,think
per,"by (means of), with, through"
permesi,"allow, permit"
peti,"ask, request, beg"
peza,heavy
plaĉi (al),"please, be pleasing (to)"
plena,full
plenplena,chock-a-block
pli,more
po,"at the rate of, each"
por ke,"so thay, in order to"
por,for (to do)
posedi,"posess, own"
post,after; behind
povi,be able
pravi,"be right (in opinion, argument)"
preciza,"precise, accurate"
preskaŭ,almost
preter,"(straight) past, by; beyond"
pri,"about, concerning"
pro,"for, because of, owing to; (in exchange) for"
proksima,"near, nearby"
proksimuma,approximate
rajti,"be entitled to, have the right to"
rekomendi,recommend
respondi,"reply, answer; correspond"
resti,"remain, stay"
ricevi,"receive, obtain; catch (a disease)"
ridi,laugh
rifuzi,refuse
rigardi,"look at; consider, deem"
sama,same
ŝati,"prize, think well of; like"
scii,know (a fact; how to)
se,"if, supposing"
sed,but
sekvanta,following
sen,without
sendube,doubtless
senerara,correct
senti,feel <i>(tr)</i>
sep,seven
serĉi,"look for, seek"
ses,six
simpatia,"likeable, congenial"
situi,be situated
ŝovi,"push along, slide <i>(tr)</i>; shove"
speciala,(e)special
sub,under
subita,sudden
sudo,South
sufiĉa,"sufficient, enough"
super,on; above
supozi,suppose; presume
supren,up(wards)
sur,"on, upon"
taksi,"estimate, value (at); rate"
tamen,"however, nevertheless"
teda,"boring, tedious"
tipa,typical
tra,through
trans,across
tri,three
tro,"too, too much"
trovi,find
troviĝi,be found
tuj,immediately
tute,"completely, wholly"
unu,one
unue,firstly
varma,warm; hot
veni,come
venonta,"next, forthcoming"
verda,green
vere,truly
verŝajna,"probable, likely"
vespero,evening
vidi,see
voli,"want (to), be willing, choose (to)"
