antaŭhieraŭ,day before yesterday
aprilo,April
aŭgusto,August
aŭtuno,"autumn, fall"
dato,date
decembro,December
dimanĉo,Sunday
februaro,February
frua,early
hieraŭ,yesterday
hodiaŭ,today
horo,hour; time (of day)
januaro,January
jarcento,century
jaro,year
ĵaŭdo,Thursday
julio,July
kristnasko,Christmas
lundo,Monday
majo,May
mardo,Tuesday
marto,March
mateno,morning
merkredo,Wednesday
minuto,minute
morgaŭ,tomorrow
nokto,night
noktomezo,midnight
novembro,November
novjaro,new year
pasko,"Easter, Passover"
pentekosto,"Pentecost, Whit"
postmorgaŭ,day after tomorrow
printempo,spring(time)
sabato,Saturday
sekundo,second (of time; of arc)
semajnfino,weekend
semajno,week
septembro,September
sezono,season (of the year)
somero,summer
tagmezo,midday
tago,day
tempo,time
vendredo,Friday
vintro,winter
