aermatraco,airbed
Antiloj,Antilles
Argentino,Argentina
atlant(ik)o,Atlantic
Aŭstrio,Austria
Belgio,Belgium
Brazilio,Brasilia
Brazilo,Brazil
Bulgario,Bulgaria
Ĉeĥoslovakio,Czechoslovakia
Danio,Denmark
Danubo,Danube
delto,delta
digo,dike; embankment
estuaro,estuary
faldebla,folding
faldfolio,"flysheet, pamphlet"
Finnlando,Finland
flandra,Flemish
fluanta,flowing
golfo,"gulf, bay; golf"
Gresijono,Gresillon (in France)
Hago,The Hague (Netherlands)
Havro,le Havre
Hindio,India
Hungario,Hungary
jaĥto,yacht
Jugoslavio,Yugoslavia
Kalezo,Calais
kampadforno,camping stove
kampadgazo,camping gas
Kanado,Canada
klifo,cliff
Kolombio,Colombia
lifto,"lift, elevator"
loĝada servo,room service
Luksemburgo,Luxembourg
lukso,luxury
Manikaj Insuloj,Channel Islands
markolo,channel
matraco,mattress
Munkeno,Munich
Norvegio,Norway
oceano,ocean
pacifiko,Pacific
Pakistano,Pakistan
panoramo,panorama
Pekino,Peking
pensiono,"boarding house, pension"
Peruo,Peru
portebla,portable
Portugalio,Portugal
portugalo,Portuguese man
registri,"register, record"
regularo,(set of) rules
regulo,rule
Rejno,Rhine
rusa,Russian
ruso,Russian
ŝlifŝtonoj,eroded stones
sovetio,Soviet (lands)
ŝpato,spade
starigi tendon,pitch a tent
subĉiela,open-air
Svedio,Sweden
Svislando,Switzerland
Tamizo,Thames
turisma servo,tourist service
Urugvajo,Uruguay
Venezuelo,Venezuela
ventŝirmilo,windbreak
