(sun)baniĝi,sunbathe
afiŝo,"poster, bill"
Afriko,Africa
Alpoj,Alps
Ameriko,America
Anglio,England
anglo,Englishman
Aŭstralio,Australia
Azio,Asia
bankostumo,bathing costume
brita,British
Britio,Britain
broŝuro,"brochure, pamphlet, leaflet"
ĉina,Chinese
Ĉinio,China
ĉino,Chinaman
dormosako,sleeping bag
dorsosako,"rucksack, back-pack"
dulita,double (room)
ekskurso,"excursion, outing"
eksterlande,abroad
enlande,at home (not abroad)
Eŭropo,Europe
ferii,"go on holiday, take a vacation"
ferioj,"holidays, vacation"
fotilo,camera
foto,photograph
fotografaĵo,photograph
Francio,France
franco,Frenchman
gasti,"receive hospitality, stay (with someone)"
gastigi,"entertain, host"
gasto,guest
germana,German
Germanio,Germany
germano,German
Greklando,Greece
greko,Greek
Hispanio,Spain
hispano,Spaniard
hotelo,hotel
informejo,information centre
informo,information
inkluziva,inclusive
insulo,island
irlandano,Irishman
Irlando,Ireland
itala,Italian
Italio,Italy
italo,Italian (person)
japana,Japanese
Japanio,Japan
japano,Japanese (person)
junulargastejo.....,youth hostel
kamp(ad)i,camp
kampadejo,camping site
kamparo,countryside
kimra,Welsh
Kimrio,Wales
kimro,Welshman
kontinento,continent
lago,lake
lando,country
littuko,sheet
loĝado,lodging(s); abode
loĝejo,"lodgings, residence"
loĝi,"live, dwell; inhabit, stay (in hotel)"
Londono,London
malpaki,unpack
marbordo,(sea)shore
maro,sea
Mediteraneo,Mediterranean
montaro,"highlands, (mountain) range"
monto,mountain
nederlanda,Dutch
nederlandano,Dutchman
Nederlando,Netherlands
norda maro,North Sea
ondo,wave
paki,pack
Parizo,Paris
pasigi,spend (time)
plaĝo,bathing beach
pola,polish
Polio,Poland
polo,Pole
prospekto,prospectus
restoracio,restaurant
ruldomo,caravan
sablo,sand
Skotlando,Scotland
skoto,Scotsman
strando,"beach, shore"
Svisio,Switzerland
Sviso,Swiss (man)
tendo,tent
tendumi,camp
teraso,terrace
tranokti,"spend the night, overnight"
turisto,tourist
unulita ,single (room)
usonano,(north) American
Usono,"the United States, USA"
valizo,"suitcase, grip"
valo,valley
Varsovio,Warsaw
vizito,visit
