(dom)mastrino,housewife
abomeni,"abhor, loathe"
adori,"adore, worship"
adreso,(postal) address
afabla,"kind, affable"
aĝa,aged
aĝo,age
agrabla,"pleasant, enjoyable"
aktiva,active
akvo,water
alilandano,foreigner
alumeto,match
anorako,anorak
antaŭnomo,forename
apartamento,"flat, apartment"
arbaro,wood
arbo,tree
aspekti,"look, seem"
aŭtejo,garage
bakujo,oven
balkono,balcony
banĉambro,bathroom
bantuko,towel
barbo,beard
bildo,picture
birdo,bird
blinda,blind
blonda,"blond(e), fair-haired"
bluzo,blouse; windcheater
botelo,bottle
bovo,bullock
brakhorloĝo,wristwatch
brako,arm
brakseĝo,armchair
breto,shelf
briko,brick
broso,brush
bruo,noise
brusto,"chest, breast"
buklita,"curled, permed"
buŝo,mouth
buterujo,butter dish
butono,button; stud; knob
ĉambro,room; chamber
ĉapelo,hat
ĉarma,charming
ĉemizo,shirt
cindro,ash; cinder
dento,tooth
dentobroso,toothbrush
dentopasto,toothpaste
dika,thick; stout; fat
diskturnilo,"record player, turntable"
domgaraĝo,(domestic) garage
domo,house; building; household
dormĉambro,bedroom
dorso,back
duŝ(il)o,shower
edzino,wife
edzo,husband
eksterlandano,foreigner
elektro,electricity
enlandano,national (i.e. not foreigner)
enloĝanto,inhabitant
etaĝo,storey
fajro,fire
farmbieno,farm
farmi,farm
feliĉa,happy; fortunate
fenestro,window
fianĉo,fiancé
fingro,finger
f-ino,Miss
floro,flower
florpoto,flowerpot
flui,"flow, run"
f-o,"Master, (<i>loosely</i>) Mr"
forko,fork
forno,"furnace, boiler; kiln"
frapi,knock
fraŭlino,spinster
fraŭlo,bachelor
fridujo,refrigerator
frunto,forehead
fumi,smoke
funkcii,function; work
gaja,"gay, cheerful"
ganto,glove
ĝardeno,garden
gaso,gas
gazono,lawn
ĝemeldomo,semi-detached house
ĝemelo,twin
ĝeni,"inconvenience, disturb"
ĝentila,"polite, courteous"
genuo,knee
gesinjoroj,ladies and gentlemen
ges-roj,Mr &amp; Mrs
ĝinzo,jeans
glaso,"(drinking) glass, tumbler"
gorĝo,throat
grava,"important, serious"
halo,(large) hall; covered market
harbroso,hairbrush
haro(j),hair
heĝo,hedge
hejme,at home
hejmo,home
herbo,grass; herb
horloĝo,clock; watch
ilo,tool; instrument
industrio,industry
inteligenta,intelligent
interesa,interesting
jako,jacket
jaraĝa,years old
jaro,year
juna,young
jupo,skirt
kafkruĉo,coffee pot
kameno,"fireplace, hearth"
kamentubo,chimney
kapo,head
karbo,coal
kasedaparato,cassette player
kasedo,cassette
kaserolo,"saucepan, stew-pan"
kaskedo,(peaked) cap
kastelo,castle
keletaĝo,basement
kelo,cellar
kesto,"chest, (largish) box"
knabino,girl
knabo,boy
koko,"cock, rooster"
koloro,colour
kombilo,comb
konstruaĵo,building
kovrilo,"lid; cover (of bed, book, <i>etc.</i>)"
kravato,tie
krispa,"crimped, frilly"
kruĉo,jug
kuirejo,kitchen
kuirforno,"(cooking) stove, oven"
kulero,spoon
kurteno,curtain
kuseno,cushion
laborema,industrious
lampo,lamp
lando,(a) country
lango,tongue
lavbroso,scrubbing brush
lavkuvo,wash tub
lavmaŝino,washing machine
lavtuko,washing-up cloth
ligno,wood
lipharoj,moustache
lipo,lip
lito,bed
loĝi,"live, dwell; inhabit"
loĝi,"live, inhabit"
loko,place
lui,"rent, hire (from someone)"
lumigi,illuminate
lumo,light
manĝoĉambro,dining room
maniero,"manner, way"
mano,hand
mansako,handbag
mantelo,coat; cloak
mantuko,(hand) towel
mato,mat
meblo(j),furniture
metalo,metal
monero,coin
mono,money
muro,wall
naskiĝfesto,birthday party
naskiĝi je/en,be born at/in
naskiĝtago,birthday
naturo,nature
nazo,nose
necesa,necessary
neceseja papero,lavatory paper
necesejo,lavatory
netrinkebla,undrinkable
nomo,name
numero,number (as identifier)
objekto,object; thing; subject (of study)
okulo,eye
okulvitroj,"glasses, spectacles"
okupi,occupy
orelo,ear
palto,"coat, overcoat"
panoramo,panorama
pantalono,trousers
parfumo,perfume
parko,park
persono,person
piedfingro,toe
piedo,foot
plafono,ceiling
planko,floor
plano,plan
plasto,plastic (material)
pluvmantelo,raincoat
pordo,door
porko,pig
preferi,prefer
preĝejo,church; place of worship
premi,press; oppress
pulov(e)ro,pullover
radio(fono),radio
razeno,lawn
regiono,region
rekta,straight; direct
ringo,ring
rivereto,stream
rivero,river
robo,dress
rompi,break <i>(tr)</i>
rubujo,dustbin
rufa,"ginger, red (hair)"
ŝafo,sheep
ŝajni,"seem, appear"
salono,"drawing room, lounge; salon; saloon"
sapo,soap
seĝo,chair
sekso,sex
serioza,"serious, earnest"
servi,serve
servu (vin),help yourself
sinjorino,"Mrs, mistress"
sinjoro,"Mr, mister"
s-ino,Mrs
sitelo,"bucket, pail"
ŝlosilo,key
sofo,sofa
sonorilo,bell
spegulo,mirror
sportema,sporty
ŝranko,cupboard
s-ro,Mr
starlampo,standard lamp
ŝtono,stone
ŝtrumpo,stocking
stulta,"dull, stupid, silly"
subskribi,sign
subtaso,saucer
subteretaĝo,basement
sukerujo,sugar bowl
ŝultro,shoulder
ŝuo,shoe
tablo,table
tapiŝeto,rug
tapiŝo,carpet
taso,cup
t-ĉemizo,tee-shirt
teda,"boring, tedious"
tegmento,roof
tekruĉo,teapot
telefono,telephone
telero,plate
telertuko,dishcloth
teretaĝo,ground floor
timi,fear
