agrikulturo,agriculture
aleo,"avenue, garden walk"
artgalerio,art gallery
aŭtoparkejo,car park
avenuo,avenue
botanika ĝardeno,botanical garden
bulvardo,boulevard
fontano,fountain
intersekcaĵo,intersection
kazino,casino
konsulejo,consul
montopinto,"mountain peak, summit"
monumento,monument
multetaĝa aŭtoparko,multi-storey car-park
oficeja bloko,office block
pado,path; (traffic) lane
palaco,palace
parlamentejo,houses of parliament
pasejo,"pass, passage; gangway"
sakstrato,"blind alley, cul-de-sac"
semaforo,semaphore (signal)
subpasejo,underpass
superpasejo,overpass
tombejo,"cemetery, churchyard"
trotuaro,"pavement, sidewalk"
vojkruciĝo,crossroad
zebrostria pasejo,zebra crossing
