(kun) bondeziroj,(with) best wishes
(kun) plezuro,(with) pleasure
(laŭ mia) opinio,(in my) opinion
(vic)prezidantino,(vice)(lady)president
(vic)prezidanto,(vice)president
(vic)prezidonto,(vice)president-elect
aboni,subscribe
agi,act
akceptejo,"registration desk, reception"
akcepti,accept; receive (guests)
akompani,accompany
aliĝi,"entrol, join (a society, etc)"
aliĝilo,"enrolment form, registration form"
ami,love
amikiĝi (kun),make friends (with)
amiko,friend
aniĝi,"join, become a member"
ano,member
antaŭĝoji,look forward to
aranĝi,arrange
atentu!,"""pay attention!"""
balo,"ball, dance"
bedaŭri,regret; be sorry about
bedaŭrinde,unfortunately
bonan apetiton,"""bon apetit!"""
bonan matenon,"""good morning"""
bonan nokton,"""good night"""
bonan tagon,"""good day"""
bonan vesperon,"""good evening"""
bonan vojaĝon,"""bon voyage!"""
bonvena,welcome
bonvenigi,welcome (someone)
bonvolu,please
danki (pro),thank (for)
dankon,thank you
deligito,delegate
diservo,(religious) service
diskuti,discuss
doni,"give; impart, confer"
edziĝi (kun),"wed, marry, (become husband to)"
edziniĝi (kun),"wed, marry, (become wife to)"
elkore,"heartily, from the heart"
en ordo,"in order, OK"
enlasi,admit
envenu!,"""come in!"""
estimata,"esteemed, honoured; (in a letter:) dear (<i>e.g. </i>Dear Sir)"
farti,fare
feliĉan kristnaskon.....,"""happy Christmas!"""
feliĉan novjaron,"""happy new year!"""
feliĉan paskon,"""happy Easter"""
festi,"celebrate, hold a party"
fumado malpermesata,no smoking
gajan kristnaskon,"""merry Christmas!"""
ĝis la (revido),goodbye (face to face)
ĝis la reaŭdo.....,goodbye (on the telephone)
ĝojan kristnaskon,"""happy Christmas"""
ĝoji,"be glad, rejoice"
helpi,help
intenci,intend
interesi,interest
intereso,interest
interŝanĝi,"swap, exchange"
inviti,invite
je via sano,"""your health"""
jes,yes
kamarado,"comrade; mate, pal"
kara,dear
kategorio,category
komitatano,committee member
komitato,committee
komplemento,complement
konatiĝi (kun),become acquainted (with)
konato,acquaintance
konfesi,confess
kongresano,"congress member, attendee"
kongresejo,"congress hall, site"
kongreso,"congress, convention"
konsili,advise
korespondanto,correspondent
korespondi,correspond (exchange letters)
kunvenejo,meeting place
kunveno,meeting
libera,free
membro,member; limb
mendo,order; booking
meriti,"deserve, merit"
mi petas,"""please"""
ne dankinde,"""don't mention it"""
ne gravas,"""it's not important"""
ne,no
nomiĝi,be called
obei,obey
oficiala akcepto,official reception
oficiala bulteno,official bulletin
okupita,"busy, engaged, occupied"
pardonu (min).....,pardon (me)
partopreni,participate
peni,"try, endeavour"
permesi,"allow, permit"
plori,"weep, cry"
prezenti,present; introduce; represent; depict
progresi,progress <i>(intr)</i>
promesi,promise
provi,try; try out; test
puŝu!,"""push!"""
renkonti,meet; encounter <i>(tr)</i>
renkontiĝo,meeting
ricevi,"receive, obtain; catch (a disease)"
rideti,smile
ridi,laugh
rifuzi,refuse
saluton!,"""hello!"""
samideano,fellow-thinker (<i>i.e.</i> Esperantist)
sekretario,secretary
sendinto,sender
sidiĝi,sit down
sincere,sincerely
skribi,write
societo,(a) society
sugesti,suggest
surprizi,surprise
surprizo,surprise
tiru!,"""pull!"""
tosti,toast (drink to someone's health)
universala,universal; world
verda koro,green heart (solid Esperantist)
verda stelo,green star (symbol of Esperanto)
verdeco,greenness (Esperanto matters)
volonte,willingly
B.E.A,<i>Brita Esperantista Asocio</i>= British E-o Association (limited company)
D.M.,<i>Dumviva Membro</i> = Life Member
E.A.B.,<i>Esperanto Asocio de Britio</i> = E o Association of Britain (Charity)
FD.,<i>fakdelegito</i> = specialist representative
J.D.,<i>Junulara Delegito</i> = Youth Delegate
J.E.B.,<i>Junularaj Esperantistoj Britiaj</i> = Young E-ists of Britain
L.K.K.,<i>Loka Kongresa Komitato</i> = Local Congress Organising Committee
M.A.,<i>Membro-Abonanto</i> = Subscribing Member
M.S.,<i>Membro-Subtentanto</i> = Supporting Member
T.E.J.O.,<i>Tutmonda Esperantista Junulara Organizo</i> = World Organisation of Young Esperantists
U.E.A.,<i>Universala Esperanto-Organizo</i> = World E-o Organisation
U.K.,<i>Universala Kongreso</i> = World Congress
VD.,<i>Vicdelegito</i> = deputy Delegate
