(aŭtomata) lavbutiko,launderette
(mon)puno,fine
afranki,"pre-pay (postage, carriage)"
alvoko,call
atestanto,witness
aŭtolavejo,carwash
centralo,telephone exchange; power station
enmeti,"put in, enclose"
enpoŝtigi,post (<i>e.g.</i> a letter)
ĵetono,token
krevi,burst <i>(intr)</i>
pakaĵricevejo,"parcel office, (left) luggage office"
panei,(mechanical) break down
parolilo,(loud)speaker
perditaj objektoj.....,lost property (office)
plenigi,fill up
plenumi,fulfil
poŝtmandato,postal order
poŝtrestante,"to be called for, collected"
premmezurilo,pressure gauge
premo,pressure
rado,wheel
rapidometro,speedometer
registrita,recorded; registered
ricevilo,(<i>e.g.</i> telephone) receiver
signalo de okupiteco,engaged signal/tone
tarifo,tariff
telefonbudo,telephone box
trakonekti,"connect, put through (a phone call)"
vidanto,viewer
