(aer)letero,(airmail) letter
akcidento,"accident, mishap"
alilande,abroad
aparteni,belong
banko,bank
benzinejo,petrol station
dato,date
diski,dial (<i>e.g.</i> telephone)
dokumento,"document; warrant, certificate"
enlande,in one's country (not abroad)
funkciigi,get working
giĉeto,"ticket window, box-office, hatch"
halo!,"""hello!"" (on the telephone)"
informejo,information centre
koverto,envelope
leterkesto,letterbox
leterportisto,"postman, mailman"
longdistanca,long-distance
monŝanĝejo,bureau de change
monujo,purse
oficejo,"office, bureau"
pakaĵo,"bale, bundle, pack(age), parcel"
perdi,lose
pneŭ(matik)o,tyre
policejo,police station
policisto,policeman
polico,police
poŝtejo,post office
poŝtkarto,postcard
poŝtmarko,(postage) stamp
poŝtoficejo,post office
priskribi,describe
ripari,"repair, mend"
ŝanĝejo,changing room
ŝanĝi,change <i>(tr)</i>
sendi,send
sendinto,sender
ŝpari,"save (money, <i>etc.</i>); economise"
ŝteli,"steal, thieve"
subskribi,sign
telefoni,telephone
telefonisto,telephonist
telefonlibro,telephone directory
telegramo,telegram
trovi,find
vojaĝĉeko,travellers cheque
