afiŝo,"poster, bill"
anstataŭigi,substitute
arĝento,silver
artefarita,artificial
bokalo,"wide-mouthed bottle, jar; goldfish bowl"
ĉareto,"handcart, barrow; carriage (of typewriter)"
ĉenbutiko,chain-store
ĉiovendejo,department store
debeto,debit
dozo,dose
dratkorbo,wire basket
elasta ŝnuro,elastic
enhavo,content(s)
fako,"specialisation, department; pigeon-hole, compartment"
fakturo,invoice
hipervendejo,hypermarket
interŝanĝi,"exchange, swap <i>(intr)</i>"
juvelaĵo,jewellery
katuno,cotton (fabric)
kaŭĉuko,rubber
kolporti,"hawk, peddle"
kredito,credit
kvalito,quality
kvitanco,receipt
lano,wool
ledo,leather
ligno,"wood, timber"
liveri,"deliver; supply, furnish"
lukso,luxury
malsupera,below
metalo,metal
nilona,nylon
nutraĵoj,food; nourishment
oro,gold
plasto,plastic (material)
plendi,complain
poŝtkarto,postcard
poŝtuko,handkerchief
repagi,repay
ristorni,refund
ristorno,refund
rompita,broken
ruĝigilo,rouge (make-up)
rulŝtuparo,escalator
senpaga,free; gratis
silko,silk
solvebla,soluble
sortimento,assortment
strikta,"tight, close-fitting; stringent"
ŝtupareto,step-ladder
sunbruniĝa oleo.....,sun-tan oil
supera,superior
trikita,knitted
tubo,"tube, pipe; (gun) barrel"
varo,"commodity; (item of) wares, merchandise"
vestaĵoj,clothing
vitrino,(glass) show-case
