(el)montri,display
aĉeti,buy
afiŝeto,"leaflet, fly-poster"
akiri,"acquire, get"
artiklo,article
aŭtomato,"automat, automaton"
bakisto,baker
bazaro,market; bazaar
biskvito,"biscuit, cracker"
bombono,"sweet, bonbon, candy"
bone,well
botelo,bottle
buĉisto,butcher
bukedo,bouquet
butiko,shop
butikumi,go shopping
cigaredo,cigarette
cigareto,"small cigar, cigarillo"
cigaro,cigar
cindrujo,ash tray
ĉu ion pli?,"""anything else?"""
donaco,"present, gift"
elekti,choose; elect
en ordo,"OK, all right"
eraro,"error, mistake"
fajrilo,(<i>e.g.</i> cigarette) lighter
fermita,closed
floro,flower
fotoaparato,(still) camera
fruktovendejo,"fruit shop, fruitier's"
gazetbudo,"newspaper kiosk, booth"
gazeto,"magazine, periodical, gazette"
glumarko,"sticker, seal"
grando,size
insigno,badge
kalkuli,"calculate, reckon; count"
kartono,"cardboard, pasteboard"
kasejo,cash desk
kasisto,treasurer; cashier
kiosko,kiosk
kliento,client; customer
koloro,colour
konto,account
korbo,basket
kosti,cost
koverto,envelope
kukolhorloĝo,cuckoo clock
kun tio,with that
legomisto,"greengrocer, vegetable seller"
leterpapero,letter-writing paper
listo,list
ludilo,toy
magazeno,"(large) shop, store; magazine (of fire-arm, camera)"
malfermita,open
malmultekosta.....,cheap
manĝoprovizo.....,food supply
memoraĵo,souvenir
memserva,self-service
memservado,self-service
multekosta,expensive
naztuko,handkerchief
neperfekta,imperfect
oferti,(mainly commercial) offer; bid
ombrelo,umbrella; parasol
pagi,pay
panbutiko,bread shop
parfumo,perfume
paro,pair
perfekta,perfect
pesi,weigh (measure weight)
pezi,weigh (have weight)
pipo,(tobacco-)pipe
porcio,portion
preni,take
prezo,price
provvesti,try on (clothes)
pupo,doll
rabato,"rebate, reduction, discount"
redoni,"give back, return, render <i>(tr)</i>"
revuo,"review, journal; revue"
ringo,ring
sako,sack; bag; sac
servi,serve
skatolo,"box, case, tin (can)"
speco,"kind, sort"
sukeraĵo,confectionery
sunvitroj,sunglasses
superbazaro,supermarket
surprovi,try on
tabako,tobacco
tranĉaĵo,slice
tranĉi,"cut (with knife, <i>etc.</i>)"
vendaŭtomato,vending machine
vendi,sell <i>(tr)</i>
vendisto,salesperson
