atmosfero,atmosphere
barometro,barometer
blizardo,blizzard
brizo,breeze
brumo,mist
Celsiusgrado,degree Celsius
degeli,"thaw; melt (<i>e.g.</i> ice, snow) (<i>intr</i>)"
ekpluvo,start to rain
Farenhejtgrado,degree Fahrenheit
fulmo,lightening
furioza,furious
grinci,"creak, grate, grind"
guto,drop(let)
intensa,intense; intensive
klimato,climate
konstanta,"constant, permanent; standing"
meteobulteno,weather bulletin
penetri,penetrate
pluvduŝo,rainshower
precipitaĵo,precipitation
ŝanĝiĝema,changeable
senĉese,ceaselessly
senfine,"endlessly, unending"
senhalte,without stopping
sporada,sporadic
stelo,star
sufoki,"suffocate, choke <i>(tr)</i>"
tempesto,"storm, tempest"
termometro,thermometer
videbleco,visibility
