aŭtuno,"autumn, fall"
blovi,blow
brili,shine <i>(intr)</i>
ĉielo,sky; heaven
folio,leaf; sheet (of paper)
frosti,freeze <i>(intr)</i>
glacio,ice
gliti,slide; slip <i>(intr)</i>
grado,degree; grade
hajlo,hail
hela,"bright, clear; light(coloured)"
heliĝi,brighten
kovri,cover
luno,moon
milda,"mild, gentle"
nebulo,fog
neĝbulo,snowball
neĝhomo,snowman
neĝo,snow
nubo,cloud
ombro,shadow; shade
pluvo,rain
printempo,spring(time)
seka,dry
somero,summer
ŝtormo,storm
suno,sun
temperaturo,temperature
vento,wind
vetero,weather
veterprognozo,weather forecast
vintro,winter
